Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,Gender,JobRole,EmployeeID
41,Yes,Sales,1,2,Life Sciences,2,4,Single,5993,8,1,6,Female,Sales Executive,10969592
49,No,Research & Development,8,1,Life Sciences,3,2,Married,5130,1,3,10,Male,Research Scientist,42652422
37,Yes,Research & Development,2,2,Other,4,3,Single,2090,6,3,0,Male,Laboratory Technician,83476539
33,No,Research & Development,3,4,Life Sciences,4,3,Married,2909,1,3,8,Female,Research Scientist,16114404
27,No,Research & Development,2,1,Medical,1,2,Married,3468,9,3,2,Male,Laboratory Technician,47388211
32,No,Research & Development,2,2,Life Sciences,4,4,Single,3068,0,2,7,Male,Laboratory Technician,53321192
59,No,Research & Development,3,3,Medical,3,1,Married,2670,4,2,1,Female,Laboratory Technician,54216927
30,No,Research & Development,24,1,Life Sciences,4,3,Divorced,2693,1,3,1,Male,Laboratory Technician,52208262
38,No,Research & Development,23,3,Life Sciences,4,3,Single,9526,0,3,9,Male,Manufacturing Director,59009022
36,No,Research & Development,27,3,Medical,3,3,Married,5237,6,2,7,Male,Healthcare Representative,59640268
35,No,Research & Development,16,3,Medical,1,2,Married,2426,0,3,5,Male,Laboratory Technician,71400736
29,No,Research & Development,15,2,Life Sciences,4,3,Single,4193,0,3,9,Female,Laboratory Technician,50018440
31,No,Research & Development,26,1,Life Sciences,1,3,Divorced,2911,1,2,5,Male,Research Scientist,13501715
34,No,Research & Development,19,2,Medical,2,4,Divorced,2661,0,3,2,Male,Laboratory Technician,89870835
28,Yes,Research & Development,24,3,Life Sciences,3,3,Single,2028,5,3,4,Male,Laboratory Technician,49334147
29,No,Research & Development,21,4,Life Sciences,2,1,Divorced,9980,1,3,10,Female,Manufacturing Director,58384894
32,No,Research & Development,5,2,Life Sciences,1,2,Divorced,3298,0,2,6,Male,Research Scientist,34744758
22,No,Research & Development,16,2,Medical,4,4,Divorced,2935,1,2,1,Male,Laboratory Technician,44353582
53,No,Sales,2,4,Life Sciences,1,4,Married,15427,2,3,25,Female,Manager,34548606
38,No,Research & Development,2,3,Life Sciences,4,4,Single,3944,5,3,3,Male,Research Scientist,10822994
24,No,Research & Development,11,2,Other,1,3,Divorced,4011,0,2,4,Female,Manufacturing Director,28343940
36,Yes,Sales,9,4,Life Sciences,3,1,Single,3407,7,3,5,Male,Sales Representative,85073438
34,No,Research & Development,7,4,Life Sciences,1,2,Single,11994,0,3,12,Female,Research Director,77328218
21,No,Research & Development,15,2,Life Sciences,3,4,Single,1232,1,3,0,Male,Research Scientist,31809771
34,Yes,Research & Development,6,1,Medical,2,1,Single,2960,2,3,4,Male,Research Scientist,19540912
53,No,Research & Development,5,3,Other,3,3,Divorced,19094,4,2,14,Female,Manager,22563839
32,Yes,Research & Development,16,1,Life Sciences,2,1,Single,3919,1,3,10,Female,Research Scientist,63449761
42,No,Sales,8,4,Marketing,3,2,Married,6825,0,3,9,Male,Sales Executive,68162395
44,No,Research & Development,7,4,Medical,1,4,Married,10248,3,3,22,Female,Healthcare Representative,41225497
46,No,Sales,2,4,Marketing,2,1,Single,18947,3,2,2,Female,Manager,12900289
33,No,Research & Development,2,3,Medical,3,4,Single,2496,4,3,1,Male,Laboratory Technician,24528727
44,No,Research & Development,10,4,Other,4,4,Married,6465,2,4,4,Male,Healthcare Representative,33122893
30,No,Research & Development,9,2,Medical,4,3,Single,2206,1,3,10,Male,Laboratory Technician,23769257
39,Yes,Sales,5,3,Technical Degree,4,4,Married,2086,3,4,1,Male,Sales Representative,14060586
24,Yes,Research & Development,1,3,Medical,2,4,Married,2293,2,2,2,Male,Research Scientist,80493699
43,No,Research & Development,2,2,Medical,4,3,Divorced,2645,1,2,5,Female,Research Scientist,36663195
50,Yes,Sales,3,2,Marketing,1,3,Married,2683,1,3,3,Male,Sales Representative,24560198
35,No,Sales,2,3,Marketing,4,4,Married,2014,1,3,2,Female,Sales Representative,64007458
36,No,Research & Development,5,4,Life Sciences,2,1,Married,3419,9,4,1,Female,Research Scientist,30939375
33,No,Sales,1,3,Life Sciences,3,1,Married,5376,2,3,5,Female,Sales Executive,51323548
35,No,Research & Development,4,2,Other,3,4,Divorced,1951,1,3,1,Male,Laboratory Technician,55057357
27,No,Research & Development,2,4,Life Sciences,4,1,Divorced,2341,1,3,1,Female,Laboratory Technician,16986920
26,Yes,Research & Development,25,3,Life Sciences,1,3,Single,2293,1,2,1,Male,Laboratory Technician,88807851
27,No,Sales,8,3,Life Sciences,4,3,Single,8726,1,3,9,Male,Sales Executive,16039287
30,No,Research & Development,1,2,Medical,3,4,Single,4011,1,3,12,Female,Laboratory Technician,29303442
41,Yes,Research & Development,12,3,Technical Degree,2,3,Married,19545,1,3,22,Female,Research Director,16844141
34,No,Sales,23,4,Marketing,2,3,Single,4568,0,3,9,Male,Sales Executive,26976359
37,No,Research & Development,19,2,Life Sciences,2,2,Married,3022,4,3,1,Male,Research Scientist,65370780
46,No,Sales,5,4,Marketing,1,4,Single,5772,4,3,9,Male,Sales Executive,47467991
35,No,Research & Development,8,1,Life Sciences,4,4,Married,2269,1,3,1,Male,Laboratory Technician,10041098
48,Yes,Research & Development,1,2,Life Sciences,1,3,Single,5381,9,3,1,Male,Laboratory Technician,54798524
28,Yes,Research & Development,5,4,Technical Degree,3,3,Single,3441,1,2,2,Male,Laboratory Technician,82129368
44,No,Sales,1,5,Marketing,2,1,Divorced,5454,5,2,4,Female,Sales Executive,79887047
35,No,Research & Development,11,2,Medical,3,1,Married,9884,2,3,4,Male,Healthcare Representative,35902546
26,No,Sales,23,3,Marketing,3,4,Married,4157,7,2,2,Female,Sales Executive,36731955
33,No,Research & Development,1,2,Life Sciences,1,4,Single,13458,1,3,15,Female,Research Director,45224123
35,No,Sales,18,5,Life Sciences,2,1,Married,9069,1,2,9,Male,Sales Executive,31281075
35,No,Research & Development,23,4,Medical,3,1,Married,4014,3,3,2,Female,Laboratory Technician,32086156
31,No,Research & Development,7,4,Life Sciences,4,4,Divorced,5915,3,2,7,Male,Laboratory Technician,36680747
37,No,Research & Development,1,4,Life Sciences,1,3,Divorced,5993,1,4,7,Male,Manufacturing Director,48950818
32,No,Research & Development,1,3,Medical,1,4,Married,6162,1,3,9,Male,Manufacturing Director,49713929
38,No,Research & Development,29,5,Life Sciences,4,4,Single,2406,1,3,10,Female,Laboratory Technician,52055487
50,No,Research & Development,7,2,Medical,2,3,Divorced,18740,5,2,27,Female,Research Director,67483153
59,No,Sales,25,3,Life Sciences,1,1,Single,7637,7,2,21,Female,Sales Executive,44378664
36,No,Research & Development,8,3,Technical Degree,3,3,Divorced,10096,1,3,17,Female,Healthcare Representative,37851200
55,No,Research & Development,8,3,Medical,4,3,Divorced,14756,2,3,5,Female,Manager,81609955
36,No,Research & Development,11,3,Life Sciences,2,2,Single,6499,1,3,6,Male,Manufacturing Director,73780446
45,No,Research & Development,7,3,Life Sciences,2,1,Divorced,9724,2,3,1,Male,Research Scientist,14316835
35,No,Research & Development,1,3,Medical,2,1,Married,2194,4,2,3,Male,Research Scientist,86321277
36,Yes,Research & Development,9,3,Medical,4,3,Married,3388,0,2,1,Male,Research Scientist,64519051
59,No,Sales,1,1,Life Sciences,1,3,Single,5473,7,2,4,Female,Sales Executive,36060947
29,No,Research & Development,2,3,Life Sciences,3,2,Married,2703,0,3,5,Male,Research Scientist,18134134
31,No,Research & Development,1,4,Medical,3,2,Single,2501,1,3,1,Male,Research Scientist,32968032
32,No,Research & Development,1,3,Life Sciences,2,2,Married,6220,1,3,10,Male,Research Scientist,55568284
36,No,Research & Development,6,3,Life Sciences,2,4,Married,3038,3,3,1,Female,Laboratory Technician,79437038
31,No,Research & Development,8,4,Life Sciences,3,4,Single,4424,1,3,11,Female,Manufacturing Director,88408940
35,No,Sales,1,4,Marketing,3,1,Single,4312,0,3,15,Male,Sales Executive,88167069
45,No,Research & Development,6,4,Other,4,1,Married,13245,4,4,0,Male,Research Director,51195072
37,No,Research & Development,7,4,Medical,1,3,Single,13664,4,4,5,Male,Research Director,61456560
46,No,Human Resources,5,2,Medical,2,2,Divorced,5021,8,3,4,Male,Human Resources,87024060
30,No,Research & Development,1,1,Life Sciences,4,4,Married,5126,1,2,10,Male,Laboratory Technician,75028314
35,No,Research & Development,1,3,Medical,2,3,Single,2859,1,3,6,Male,Research Scientist,83683952
55,No,Sales,1,2,Life Sciences,1,4,Married,10239,3,3,1,Male,Sales Executive,81039627
38,No,Research & Development,6,3,Medical,2,4,Divorced,5329,7,3,13,Female,Research Scientist,22375312
34,No,Research & Development,1,2,Medical,1,2,Married,4325,1,3,5,Male,Manufacturing Director,84076849
56,No,Research & Development,7,3,Life Sciences,4,4,Single,7260,4,2,6,Male,Manufacturing Director,10873520
23,No,Sales,2,1,Technical Degree,3,1,Divorced,2322,3,3,0,Male,Sales Representative,11630681
51,No,Research & Development,9,4,Life Sciences,4,4,Married,2075,3,3,4,Male,Laboratory Technician,25816239
30,No,Research & Development,2,3,Life Sciences,3,4,Married,4152,1,3,11,Male,Healthcare Representative,51450626
46,Yes,Sales,9,2,Medical,3,4,Single,9619,1,3,9,Male,Sales Executive,69155608
40,No,Research & Development,1,4,Life Sciences,3,2,Married,13503,1,2,22,Male,Healthcare Representative,19165405
51,No,Sales,21,4,Marketing,3,4,Single,5441,0,1,10,Male,Sales Executive,42346992
30,No,Sales,4,2,Medical,3,2,Divorced,5209,1,2,11,Female,Sales Executive,80771594
46,No,Research & Development,1,3,Medical,3,1,Married,10673,2,2,10,Male,Healthcare Representative,22094162
32,No,Sales,6,4,Medical,2,3,Single,5010,1,3,11,Male,Sales Executive,69323830
54,No,Research & Development,2,4,Technical Degree,1,3,Married,13549,9,1,4,Female,Research Director,54286298
24,No,Sales,3,2,Other,1,3,Married,4999,0,2,3,Female,Sales Executive,31449445
28,No,Sales,4,3,Medical,2,3,Married,4221,1,4,5,Male,Sales Executive,27558200
58,No,Sales,10,4,Medical,4,3,Single,13872,0,2,37,Male,Sales Executive,72219796
